,Stand,Hit,Optimal
"(14, 5)",0.500089,0.499911,Stand
"(14, 6)",0.49994,0.500059,Hit
"(14, 7)",0.499792,0.500208,Hit
"(14, 8)",0.499643,0.500357,Hit
"(14, 9)",0.499494,0.500506,Hit
"(14, 10)",0.499425,0.500575,Hit
"(15, 1)",0.50002,0.49998,Stand
"(15, 2)",0.50011,0.49989,Stand
"(15, 3)",0.500461,0.499539,Stand
"(15, 4)",0.500618,0.499382,Stand
"(15, 5)",0.500469,0.499531,Stand
"(15, 6)",0.50032,0.49968,Stand
"(15, 7)",0.500171,0.499829,Stand
"(15, 8)",0.500022,0.499978,Stand
"(15, 9)",0.499874,0.500126,Hit
"(15, 10)",0.499797,0.500202,Hit
"(16, 1)",0.500344,0.499656,Stand
"(16, 2)",0.500434,0.499565,Stand
"(16, 3)",0.500701,0.499299,Stand
"(16, 4)",0.500997,0.499003,Stand
"(16, 5)",0.500849,0.499151,Stand
"(16, 6)",0.5007,0.4993,Stand
"(16, 7)",0.500551,0.499449,Stand
"(16, 8)",0.500402,0.499598,Stand
"(16, 9)",0.500253,0.499747,Stand
"(16, 10)",0.50017,0.49983,Stand
"(17, 1)",0.500668,0.499332,Stand
"(17, 2)",0.500759,0.499241,Stand
"(17, 3)",0.500942,0.499058,Stand
"(17, 4)",0.501334,0.498666,Stand
"(17, 5)",0.501228,0.498772,Stand
"(17, 6)",0.501079,0.498921,Stand
"(17, 7)",0.50093,0.49907,Stand
"(17, 8)",0.500782,0.499218,Stand
"(17, 9)",0.500633,0.499367,Stand
"(17, 10)",0.500543,0.499457,Stand
"(18, 1)",0.500992,0.499008,Stand
"(18, 2)",0.501083,0.498917,Stand
"(18, 3)",0.501182,0.498818,Stand
"(18, 4)",0.501574,0.498426,Stand
"(18, 5)",0.501608,0.498392,Stand
"(18, 6)",0.501459,0.498541,Stand
"(18, 7)",0.50131,0.49869,Stand
"(18, 8)",0.501161,0.498839,Stand
"(18, 9)",0.501012,0.498988,Stand
"(18, 10)",0.500916,0.499084,Stand
"(19, 1)",0.501317,0.498683,Stand
"(19, 2)",0.501407,0.498593,Stand
"(19, 3)",0.501498,0.498502,Stand
"(19, 4)",0.501814,0.498186,Stand
"(19, 5)",0.501987,0.498013,Stand
"(19, 6)",0.501839,0.498162,Stand
"(19, 7)",0.50169,0.49831,Stand
"(19, 8)",0.501541,0.498459,Stand
"(19, 9)",0.501392,0.498608,Stand
"(19, 10)",0.501289,0.498711,Stand
"(20, 1)",0.501641,0.498359,Stand
"(20, 2)",0.501731,0.498269,Stand
"(20, 3)",0.501822,0.498178,Stand
"(20, 4)",0.502055,0.497945,Stand
"(20, 5)",0.502367,0.497633,Stand
"(20, 6)",0.502218,0.497782,Stand
"(20, 7)",0.502069,0.497931,Stand
"(20, 8)",0.50192,0.49808,Stand
"(20, 9)",0.501772,0.498228,Stand
"(20, 10)",0.501662,0.498338,Stand
